IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE_EN_CM;HAUTEUR_EN_M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE_OU_CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo_point
230281.0;Saule;Salix;babylonica;QUAI DE L HORLOGE;Arbre;Alignement;PARIS 1ER ARRDT;;;402002;140.0;14.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.857749011,2.33940394029
102028.0;Marronnier;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;;G0380002;330.0;25.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8801157455,2.38566682415
2002365.0;Platane;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12/jul;;12/jul;410.0;35.0;Mature;Inconnue;;1859-12-31T20:15:33-03:54;OUI;48.8322968473,2.4106783229
2017817.0;Chêne;Quercus;cerris;PLACE DE LA REPUBLIQUE;Arbre;Alignement;PARIS 10E ARRDT;;;401009;51.0;7.0;Jeune (arbre);Guillot Bourne;;2017-11-08T22:00:00-03:00;OUI;48.8682954419,2.36318943607
2002397.0;Cyprès Chauve;Taxodium;distichum;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16/mar;;101003;354.0;32.0;Mature;Inconnue;;1861-12-31T20:15:33-03:54;OUI;48.8606050739,2.25977704939
114685.0;Mûrier;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 à 27;;103010;169.0;8.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8729000638,2.29056540474
111642.0;Erable;Acer;saccharinum;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15/abr;;102015;240.0;20.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8427836654,2.29686133132
126662.0;Platane;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;Arbre;Jardin;PARIS 16E ARRDT;;;12;151.0;13.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8682621216,2.29353225481
152606.0;Cèdre;Cedrus;libani;CIMETIERE DU PERE LACHAISE / DIV 4;Arbre;CIMETIERE;PARIS 20E ARRDT;20-16;;D00000004036;372.0;25.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8608096279,2.39184377559
147672.0;Marronnier;Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;;D00000076032;347.0;22.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8597425245,2.39998313637
